,cluster
257,15
258,478
259,478
260,478
261,63
262,247
263,478
264,193
265,395
266,478
267,478
268,478
269,478
270,478
271,478
272,428
273,478
274,478
275,450
276,332
277,478
278,478
279,478
280,478
281,252
282,23
283,423
284,137
285,61
286,478
287,345
288,478
289,478
290,155
291,478
292,366
293,60
294,460
295,137
296,211
297,463
298,241
299,478
300,425
301,459
302,135
303,176
304,473
305,8
306,429
307,478
308,466
309,478
310,265
311,478
312,293
313,230
314,478
315,478
316,478
317,478
318,478
319,18
320,404
321,230
322,341
323,478
324,478
325,376
326,480
327,461
328,478
329,442
330,478
331,403
332,478
333,256
334,276
335,466
336,478
337,14
338,435
339,478
340,478
341,447
342,316
343,403
344,478
345,478
346,478
347,281
348,20
349,48
350,478
351,478
352,478
353,453
354,362
355,478
356,20
357,301
358,478
359,478
360,114
361,478
362,478
363,478
364,478
365,282
366,478
367,478
368,366
369,478
370,290
371,478
372,428
373,478
374,466
375,478
376,478
377,246
378,452
379,220
380,420
381,307
382,478
383,286
384,270
385,474
386,457
387,415
388,478
389,106
390,288
391,478
392,478
393,478
394,478
395,478
396,285
397,478
398,36
399,478
400,411
401,118
402,478
403,470
404,478
405,478
406,455
407,451
408,104
409,478
410,131
411,257
412,364
413,140
414,478
415,470
416,29
417,125
418,455
419,273
420,100
421,191
422,478
423,277
424,478
425,141
426,52
427,478
428,478
429,455
430,55
431,347
432,478
433,196
434,335
435,21
436,201
437,478
438,379
439,466
440,280
441,445
442,397
443,138
444,478
445,142
446,100
447,478
448,478
449,478
450,230
451,331
452,478
453,478
454,459
455,478
456,187
457,453
458,50
459,478
460,114
461,478
462,478
463,398
464,478
465,399
466,102
467,478
468,478
469,395
470,218
471,418
472,433
473,478
474,438
475,457
476,478
477,213
478,459
479,132
480,478
481,282
482,478
483,272
484,286
485,405
486,424
487,478
488,82
489,324
490,478
491,448
492,478
493,478
494,347
495,25
496,333
497,143
498,263
499,478
500,417
501,113
502,346
503,478
504,478
505,478
506,237
507,478
508,383
509,193
510,478
511,478
512,455
513,478
514,306
515,478
516,327
517,478
518,478
519,124
520,145
521,309
522,478
523,478
524,406
525,478
526,92
527,300
528,478
529,316
530,478
531,478
532,478
533,139
534,224
535,86
536,426
537,478
538,478
539,203
540,478
541,478
542,453
543,330
544,243
545,319
546,478
547,478
548,420
549,60
550,478
551,478
552,234
553,227
554,445
555,478
556,478
557,478
558,274
559,478
560,421
561,236
562,334
563,478
564,478
565,478
566,478
567,478
568,478
569,442
570,112
571,21
572,254
573,478
574,478
575,478
576,478
577,478
578,478
579,478
580,478
581,463
582,383
583,478
584,271
585,171
586,478
587,478
588,478
589,474
590,385
591,459
592,478
593,478
594,463
595,478
596,478
597,419
598,478
599,210
600,478
601,51
602,456
603,231
604,478
605,478
606,192
607,478
608,291
609,389
610,336
611,478
612,477
613,478
614,478
615,186
616,267
617,478
618,478
619,459
620,478
621,478
622,365
623,478
624,460
625,478
626,346
627,478
628,478
629,478
630,29
631,18
632,450
633,478
634,478
635,100
636,458
637,449
638,231
639,478
640,251
641,160
642,478
643,478
644,478
645,478
646,478
647,478
648,478
649,458
650,478
651,478
652,462
653,478
654,433
655,478
656,296
657,478
658,247
659,478
660,303
661,478
662,279
663,422
664,478
665,22
666,475
667,478
668,403
669,478
670,334
671,478
672,207
673,478
674,478
675,478
676,120
677,478
678,271
679,478
680,478
681,380
682,68
683,315
684,478
685,474
686,198
687,478
688,478
689,415
690,478
691,478
692,478
693,476
694,478
695,150
696,478
697,245
698,478
699,467
700,478
701,26
702,478
703,446
704,200
705,478
706,476
707,138
708,478
709,478
710,478
711,246
712,404
713,61
714,478
715,453
716,478
717,478
718,37
719,478
720,478
721,478
722,472
723,314
724,478
725,378
726,478
727,465
728,477
729,327
730,76
731,478
732,478
733,289
734,478
735,436
736,353
737,478
738,223
739,478
740,478
741,156
742,478
743,478
744,478
745,478
746,472
747,469
748,474
749,478
750,478
751,478
752,478
753,478
754,478
755,399
756,478
757,72
758,478
759,478
760,399
761,478
762,418
763,478
764,400
765,478
766,478
767,478
768,127
769,478
770,478
771,115
772,213
773,469
774,478
775,45
776,91
777,233
778,116
779,438
780,336
781,355
782,478
783,478
784,267
785,478
786,309
787,478
788,466
789,422
790,288
791,422
792,478
793,478
794,478
795,478
796,478
797,214
798,478
799,362
800,146
801,478
802,324
803,207
804,478
805,478
806,64
807,478
808,478
809,13
810,167
811,197
812,478
813,478
814,339
815,478
816,286
817,347
818,135
819,467
820,249
821,478
822,358
823,325
824,478
825,55
826,478
827,478
828,269
829,238
830,395
831,478
832,478
833,478
834,478
835,478
836,478
837,115
838,124
839,478
840,403
841,453
842,478
843,478
844,200
845,478
846,478
847,478
848,478
849,478
850,478
851,478
852,478
853,78
854,165
855,223
856,469
857,294
858,478
859,466
860,182
861,315
862,345
863,160
864,478
865,478
866,388
867,478
868,109
869,478
870,195
871,478
872,478
873,366
874,447
875,478
876,478
877,108
878,478
879,478
880,366
881,478
882,478
883,478
884,138
885,478
886,372
887,421
888,412
889,293
890,478
891,478
892,478
893,478
894,478
895,404
896,352
897,478
898,34
899,470
900,416
901,478
902,478
903,478
904,445
905,478
906,247
907,324
908,384
909,404
910,295
911,274
912,478
913,478
914,478
915,478
916,478
917,478
918,122
919,329
920,464
921,90
922,328
923,478
924,389
925,478
926,478
927,388
928,478
929,339
930,478
931,57
932,333
933,152
934,272
935,171
936,459
937,426
938,64
939,478
940,372
941,195
942,278
943,478
944,478
945,478
946,478
947,462
948,367
949,346
950,430
951,55
952,449
953,367
954,428
955,478
956,478
957,478
958,102
959,478
960,113
961,7
962,406
963,478
964,478
965,478
966,437
967,359
968,478
969,478
970,459
971,478
972,478
973,478
974,447
975,478
976,478
977,182
978,279
979,11
980,478
981,192
982,478
983,388
984,478
985,478
986,478
987,388
988,474
989,478
990,474
991,478
992,332
993,478
994,478
995,478
996,478
997,100
998,240
999,478
1000,478
1001,183
1002,478
1003,478
1004,57
1005,430
1006,255
1007,478
1008,478
1009,478
1010,330
1011,123
1012,174
1013,478
1014,478
1015,478
1016,478
1017,478
1018,478
1019,371
1020,478
1021,200
1022,388
1023,193
1024,478
1025,478
1026,478
1027,478
1028,478
1029,359
1030,478
1031,459
1032,478
1033,478
1034,478
1035,171
1036,478
1037,478
1038,404
1039,389
1040,447
1041,478
1042,478
1043,478
1044,478
1045,478
1046,478
1047,478
1048,68
1049,478
1050,84
1051,478
1052,478
1053,478
1054,41
1055,478
1056,216
1057,13
1058,478
1059,376
1060,365
1061,478
1062,478
1063,478
1064,478
1065,407
1066,279
1067,478
1068,478
1069,195
1070,310
1071,415
1072,478
1073,478
1074,478
1075,478
1076,440
1077,435
1078,478
1079,471
1080,478
1081,478
1082,182
1083,478
1084,478
1085,381
1086,478
1087,223
1088,352
1089,478
1090,414
1091,267
1092,75
1093,62
1094,478
1095,478
1096,79
1097,280
1098,478
1099,148
1100,431
1101,317
1102,478
1103,141
1104,478
1105,466
1106,27
1107,323
1108,478
1109,478
1110,330
1111,478
1112,478
1113,478
1114,471
1115,188
1116,183
1117,271
1118,478
1119,478
1120,478
1121,364
1122,478
1123,478
1124,204
1125,326
1126,422
1127,469
1128,290
1129,478
1130,109
1131,166
1132,316
1133,478
1134,478
1135,303
1136,217
1137,403
1138,450
1139,170
1140,478
1141,478
1142,286
1143,478
1144,458
1145,478
1146,303
1147,478
1148,478
1149,243
1150,478
1151,446
1152,175
1153,478
1154,478
1155,478
1156,258
1157,428
1158,232
1159,478
1160,478
1161,478
1162,478
1163,468
1164,478
1165,263
1166,328
1167,478
1168,478
1169,358
1170,478
1171,431
1172,478
1173,160
1174,478
1175,415
1176,478
1177,187
1178,194
1179,478
1180,131
1181,302
1182,478
1183,478
1184,51
1185,478
1186,478
1187,478
1188,433
1189,478
1190,447
1191,266
1192,478
1193,478
1194,478
1195,115
1196,478
1197,272
1198,294
1199,478
1200,191
1201,478
1202,410
1203,39
1204,478
1205,223
1206,418
1207,478
1208,478
1209,478
1210,478
1211,478
1212,478
1213,478
1214,191
1215,478
1216,440
1217,304
1218,478
1219,400
1220,478
1221,478
1222,478
1223,412
1224,478
1225,478
1226,197
1227,397
1228,478
1229,352
1230,478
1231,201
1232,420
1233,451
1234,478
1235,478
1236,296
1237,5
1238,225
1239,478
1240,478
1241,193
1242,478
1243,430
1244,478
1245,272
1246,400
1247,199
1248,69
1249,478
1250,478
1251,478
1252,317
1253,421
1254,478
1255,212
1256,277
1257,345
1258,478
1259,474
1260,478
1261,404
1262,478
1263,478
1264,195
1265,437
1266,389
1267,151
1268,59
1269,478
1270,195
1271,478
1272,478
1273,15
1274,478
1275,236
1276,364
1277,474
1278,306
1279,478
1280,478
1281,478
1282,478
1283,342
1284,362
1285,428
1286,27
1287,273
1288,440
1289,478
1290,478
1291,13
1292,30
1293,478
1294,478
1295,467
1296,478
1297,216
1298,478
1299,478
1300,137
1301,236
1302,478
1303,424
1304,478
1305,478
1306,196
1307,231
1308,478
1309,424
1310,478
1311,469
1312,323
1313,478
1314,294
1315,478
1316,71
1317,478
1318,478
1319,478
1320,478
1321,478
1322,478
1323,478
1324,460
1325,237
1326,262
1327,346
1328,478
1329,478
1330,61
1331,478
1332,146
1333,194
1334,478
1335,478
1336,280
1337,478
1338,301
1339,478
1340,299
1341,478
1342,199
1343,478
1344,478
1345,458
1346,46
1347,478
1348,217
1349,478
1350,398
1351,478
1352,478
1353,372
1354,478
1355,298
1356,478
1357,348
1358,478
1359,417
1360,478
1361,478
1362,478
1363,324
1364,76
1365,478
1366,478
1367,478
1368,478
1369,478
1370,66
1371,411
1372,84
1373,294
1374,478
1375,443
1376,478
1377,478
1378,478
1379,478
1380,478
1381,478
1382,478
1383,478
1384,478
1385,455
1386,280
1387,198
1388,87
1389,478
1390,45
1391,478
1392,363
1393,322
1394,478
1395,478
1396,317
1397,478
1398,47
1399,478
1400,478
1401,478
1402,470
1403,453
1404,459
1405,478
1406,478
1407,478
1408,478
1409,478
1410,478
1411,236
1412,317
1413,60
1414,478
1415,478
1416,478
1417,478
1418,478
1419,422
1420,478
1421,387
1422,298
1423,355
1424,478
1425,478
1426,388
1427,478
1428,466
1429,275
1430,478
1431,478
1432,478
1433,113
1434,405
1435,478
1436,76
1437,478
1438,423
1439,478
1440,12
1441,478
1442,257
1443,413
1444,478
1445,478
1446,452
1447,478
1448,258
1449,478
1450,321
1451,478
1452,478
1453,357
1454,18
1455,478
1456,442
1457,478
1458,403
1459,391
1460,97
1461,474
1462,367
1463,478
1464,478
1465,478
1466,446
1467,478
1468,478
1469,478
1470,478
1471,467
1472,447
1473,478
1474,478
1475,478
1476,67
1477,478
1478,478
1479,478
1480,478
1481,478
1482,427
1483,478
1484,478
1485,302
1486,476
1487,420
1488,329
1489,478
1490,283
1491,478
1492,478
1493,478
1494,345
1495,284
1496,478
1497,478
1498,478
1499,75
1500,478
1501,189
1502,478
1503,478
1504,478
1505,478
1506,478
1507,118
1508,450
1509,478
1510,478
1511,478
1512,478
1513,186
1514,478
1515,478
1516,478
1517,478
1518,478
1519,374
1520,470
1521,123
1522,478
1523,284
1524,429
1525,478
1526,64
1527,478
1528,478
1529,309
1530,113
1531,421
1532,478
1533,478
1534,478
1535,478
1536,66
1537,478
1538,478
1539,478
1540,410
1541,364
1542,478
1543,395
1544,478
1545,298
1546,293
1547,187
1548,264
1549,478
1550,453
1551,478
1552,41
1553,478
1554,418
1555,302
1556,478
1557,111
1558,478
1559,478
1560,478
1561,478
1562,63
1563,459
1564,478
1565,478
1566,478
1567,478
1568,443
1569,195
1570,478
1571,345
1572,478
1573,443
1574,478
1575,478
1576,426
1577,478
1578,471
1579,478
1580,7
1581,403
1582,98
1583,36
1584,217
1585,80
1586,478
1587,216
1588,456
1589,150
1590,478
1591,459
1592,478
1593,478
1594,439
1595,465
1596,476
1597,382
1598,428
1599,397
1600,388
1601,478
1602,478
1603,145
1604,7
1605,478
1606,478
1607,478
1608,416
1609,445
1610,478
1611,478
1612,227
1613,391
1614,54
1615,478
1616,478
1617,261
1618,220
1619,478
1620,87
1621,478
1622,129
1623,474
1624,478
1625,478
1626,370
1627,478
1628,471
1629,478
1630,478
1631,478
1632,478
1633,478
1634,371
1635,478
1636,478
1637,478
1638,478
1639,478
1640,478
1641,23
1642,474
1643,478
1644,280
1645,478
1646,478
1647,478
1648,478
1649,183
1650,478
1651,478
1652,430
1653,478
1654,478
1655,478
1656,478
1657,226
1658,478
1659,436
1660,471
1661,274
1662,61
1663,478
1664,478
1665,478
1666,478
1667,478
1668,478
1669,11
1670,448
1671,478
1672,478
1673,478
1674,478
1675,220
1676,342
1677,478
1678,478
1679,478
1680,478
1681,408
1682,478
1683,121
1684,436
1685,307
1686,57
1687,472
1688,478
1689,315
1690,478
1691,251
1692,478
1693,313
1694,459
1695,478
1696,478
1697,478
1698,478
1699,478
1700,478
1701,478
1702,478
1703,469
1704,478
1705,48
1706,453
1707,54
1708,478
1709,471
1710,478
1711,478
1712,469
1713,478
1714,478
1715,187
1716,478
1717,366
1718,478
1719,478
1720,478
1721,478
1722,478
1723,459
1724,478
1725,478
1726,478
1727,478
1728,476
1729,478
1730,478
1731,310
1732,478
1733,478
1734,478
1735,478
1736,478
1737,313
1738,319
1739,478
1740,472
1741,478
1742,478
1743,478
1744,478
1745,356
1746,478
1747,478
1748,478
1749,478
1750,478
1751,35
1752,478
1753,478
1754,329
1755,428
1756,369
1757,478
1758,370
1759,478
1760,345
1761,478
1762,478
1763,3
1764,377
1765,478
1766,458
1767,454
1768,171
1769,478
1770,478
1771,478
1772,478
1773,478
1774,478
1775,115
1776,330
1777,478
1778,478
1779,478
1780,50
1781,478
1782,478
1783,478
1784,478
1785,279
1786,478
1787,478
1788,203
1789,263
1790,361
1791,405
1792,404
1793,478
1794,237
1795,478
1796,329
1797,478
1798,478
1799,478
1800,478
1801,438
1802,440
1803,478
1804,475
1805,478
1806,478
1807,478
1808,478
1809,478
1810,478
1811,223
1812,478
1813,478
1814,478
1815,478
1816,478
1817,478
1818,478
1819,478
1820,389
1821,478
1822,365
1823,478
1824,391
1825,263
1826,478
1827,478
1828,445
1829,28
1830,478
1831,478
1832,478
1833,478
1834,478
1835,354
1836,63
1837,478
1838,235
1839,469
1840,285
1841,183
1842,478
1843,45
1844,436
1845,478
1846,248
1847,478
1848,478
1849,31
1850,478
1851,478
1852,158
1853,476
1854,478
1855,478
1856,478
1857,28
1858,478
1859,478
1860,478
1861,466
1862,478
1863,478
1864,404
1865,478
1866,142
1867,478
1868,478
1869,478
1870,459
1871,478
1872,478
1873,463
1874,478
1875,478
1876,281
1877,37
1878,478
1879,478
1880,298
1881,455
1882,478
1883,389
1884,55
1885,378
1886,478
1887,266
1888,478
1889,357
1890,391
1891,80
1892,94
1893,44
1894,478
1895,61
1896,478
1897,478
1898,478
1899,459
1900,459
1901,478
1902,478
1903,478
1904,478
1905,478
1906,478
1907,478
1908,478
1909,340
1910,478
1911,478
1912,470
1913,472
1914,478
1915,478
1916,250
1917,400
1918,478
1919,478
1920,478
1921,206
1922,230
1923,466
1924,478
1925,478
1926,466
1927,478
1928,334
1929,289
1930,478
1931,291
1932,478
1933,478
1934,478
1935,404
1936,478
1937,478
1938,478
1939,478
1940,478
1941,442
1942,385
1943,478
1944,478
1945,237
1946,478
1947,478
1948,455
1949,279
1950,478
1951,306
1952,478
1953,478
1954,478
1955,323
1956,478
1957,478
1958,459
1959,459
1960,478
1961,131
1962,474
1963,478
1964,478
1965,454
1966,478
1967,478
1968,403
1969,478
1970,478
1971,478
1972,135
1973,425
1974,459
1975,478
1976,478
1977,478
1978,146
1979,459
1980,478
1981,478
1982,478
1983,478
1984,478
1985,466
1986,361
1987,478
1988,478
1989,219
1990,478
1991,458
1992,478
1993,478
1994,458
1995,478
1996,478
1997,478
1998,478
1999,478
2000,478
2001,478
2002,126
2003,164
2004,478
2005,453
2006,399
2007,478
2008,478
2009,404
2010,478
2011,147
2012,334
2013,478
2014,459
2015,478
2016,459
2017,410
2018,478
2019,472
2020,478
2021,397
2022,478
2023,248
2024,297
2025,478
2026,78
2027,455
2028,478
2029,478
2030,478
2031,459
2032,478
2033,478
2034,478
2035,478
2036,88
2037,478
2038,478
2039,478
2040,478
2041,478
2042,478
2043,478
2044,416
2045,459
2046,478
2047,478
2048,478
2049,478
2050,478
2051,478
2052,438
2053,478
2054,424
2055,478
2056,478
2057,475
2058,478
2059,478
2060,459
2061,478
2062,478
2063,478
2064,478
2065,478
2066,478
2067,478
2068,478
2069,97
2070,383
2071,290
2072,478
2073,478
2074,478
2075,478
2076,365
2077,478
2078,478
2079,307
2080,478
2081,478
2082,478
2083,478
2084,478
2085,464
2086,478
2087,478
2088,248
2089,478
2090,478
2091,191
2092,478
2093,478
2094,247
2095,478
2096,478
2097,478
2098,478
2099,478
2100,478
2101,478
2102,478
2103,478
2104,478
2105,478
2106,478
2107,144
2108,478
2109,478
2110,478
2111,478
2112,478
2113,367
2114,459
2115,478
2116,478
2117,402
2118,478
2119,478
2120,478
2121,478
2122,22
2123,478
2124,478
2125,478
2126,478
2127,146
2128,478
2129,478
2130,442
2131,478
2132,478
2133,367
2134,452
2135,478
2136,478
2137,478
2138,326
2139,216
2140,455
2141,478
2142,478
2143,478
2144,240
2145,478
2146,478
2147,169
2148,478
2149,442
2150,478
2151,365
2152,478
2153,478
2154,478
2155,11
2156,478
2157,459
2158,262
2159,478
2160,478
2161,77
2162,478
2163,478
2164,478
2165,408
2166,178
2167,478
2168,89
2169,478
2170,459
2171,478
2172,478
2173,478
2174,478
2175,478
2176,478
2177,237
2178,478
2179,261
2180,478
2181,478
2182,478
2183,472
2184,478
2185,10
2186,478
2187,478
2188,450
2189,478
2190,176
2191,478
2192,478
2193,120
2194,478
2195,478
2196,257
2197,50
2198,478
2199,440
2200,33
2201,436
2202,478
2203,478
2204,376
2205,478
2206,478
2207,478
2208,368
2209,478
2210,478
2211,478
2212,459
2213,478
2214,455
2215,478
2216,262
2217,139
2218,141
2219,148
2220,367
2221,466
2222,478
2223,478
2224,388
2225,453
2226,478
2227,459
2228,478
2229,478
2230,478
2231,478
2232,478
2233,478
2234,478
2235,421
2236,478
2237,478
2238,478
2239,478
2240,478
2241,478
2242,464
2243,478
2244,346
2245,478
2246,478
2247,478
2248,299
2249,478
2250,478
2251,453
2252,478
2253,287
2254,428
2255,478
2256,474
2257,478
2258,158
2259,451
2260,410
2261,478
2262,478
2263,243
2264,478
2265,478
2266,478
2267,478
2268,478
2269,436
2270,44
2271,478
2272,59
2273,478
2274,478
2275,478
2276,478
2277,478
2278,478
2279,478
2280,357
2281,478
2282,478
2283,478
2284,478
2285,255
2286,221
2287,478
2288,478
2289,478
2290,478
2291,478
2292,478
2293,478
2294,478
2295,478
2296,478
2297,478
2298,478
2299,478
2300,478
2301,459
2302,331
2303,478
2304,72
2305,65
2306,478
2307,478
2308,378
2309,119
2310,478
2311,478
2312,478
2313,172
2314,428
2315,478
2316,250
2317,478
2318,478
2319,478
2320,478
2321,478
2322,478
2323,459
2324,478
2325,478
2326,478
2327,463
2328,478
2329,314
2330,43
2331,17
2332,401
2333,478
2334,70
2335,478
2336,478
2337,50
2338,478
2339,478
2340,478
2341,478
2342,478
2343,388
2344,478
2345,151
2346,356
2347,478
2348,478
2349,478
2350,478
2351,415
2352,478
2353,478
2354,478
2355,457
2356,478
2357,478
2358,478
2359,169
2360,478
2361,208
2362,478
2363,49
2364,9
2365,77
2366,127
2367,478
2368,127
2369,17
2370,478
2371,478
2372,478
2373,478
2374,478
2375,478
2376,478
2377,478
2378,478
2379,478
2380,478
2381,478
2382,37
2383,459
2384,478
2385,478
2386,478
2387,478
2388,459
2389,478
2390,388
2391,478
2392,478
2393,478
2394,366
2395,478
2396,466
2397,410
2398,478
2399,478
2400,478
2401,478
2402,349
2403,467
2404,478
2405,289
2406,368
2407,478
2408,478
2409,478
2410,478
2411,478
2412,478
2413,478
2414,478
2415,478
2416,478
2417,59
2418,478
2419,478
2420,478
2421,478
2422,478
2423,478
2424,451
2425,478
2426,478
2427,478
2428,478
2429,478
2430,478
2431,478
2432,478
2433,179
2434,478
2435,478
2436,452
2437,72
2438,478
2439,478
2440,478
2441,50
2442,478
2443,478
2444,478
2445,478
2446,30
2447,445
2448,436
2449,478
2450,478
2451,340
2452,478
2453,478
2454,415
2455,478
2456,447
2457,478
2458,478
2459,467
2460,478
2461,114
2462,478
2463,414
2464,301
2465,478
2466,330
2467,79
2468,54
2469,478
2470,398
2471,478
2472,134
2473,478
2474,478
2475,478
2476,478
2477,478
2478,405
2479,478
2480,468
2481,436
2482,347
2483,478
2484,478
2485,478
2486,478
2487,478
2488,478
2489,478
2490,478
2491,478
2492,478
2493,419
2494,478
2495,478
2496,151
2497,478
2498,428
2499,478
2500,478
2501,478
2502,262
2503,478
2504,478
2505,478
2506,478
2507,478
2508,478
2509,478
2510,478
2511,478
2512,450
2513,423
2514,392
2515,429
2516,478
2517,481
2518,478
2519,478
2520,478
2521,478
2522,478
2523,478
2524,478
2525,478
2526,478
2527,349
2528,378
2529,478
2530,251
2531,478
2532,478
2533,289
2534,128
2535,478
2536,367
2537,478
2538,478
2539,478
2540,478
2541,478
2542,478
2543,478
2544,222
2545,478
2546,478
2547,478
2548,478
2549,478
2550,478
2551,478
2552,122
2553,478
2554,478
2555,414
2556,478
2557,478
2558,478
2559,206
2560,478
2561,445
2562,478
2563,478
2564,282
2565,330
2566,478
2567,179
2568,478
2569,478
2570,478
2571,478
2572,478
2573,478
2574,478
2575,478
2576,478
2577,478
2578,478
2579,478
2580,478
2581,478
2582,412
2583,459
2584,450
2585,478
2586,478
2587,478
2588,478
2589,478
2590,455
2591,478
2592,478
2593,428
2594,478
2595,478
2596,478
2597,380
2598,478
2599,478
2600,478
2601,478
2602,50
2603,330
2604,124
2605,478
2606,347
2607,478
2608,251
2609,478
2610,478
2611,478
2612,459
2613,175
2614,478
2615,478
2616,478
2617,422
2618,478
2619,478
2620,385
2621,471
2622,478
2623,478
2624,405
2625,478
2626,478
2627,478
2628,478
2629,478
2630,478
2631,478
2632,325
2633,366
2634,478
2635,332
2636,478
2637,455
2638,478
2639,478
2640,478
2641,478
2642,478
2643,478
2644,478
2645,478
2646,478
2647,478
2648,478
2649,478
2650,185
2651,478
2652,478
2653,152
2654,455
2655,335
2656,436
2657,478
2658,478
2659,478
2660,478
2661,455
2662,478
2663,478
2664,478
2665,478
2666,294
2667,478
2668,478
2669,478
2670,478
2671,469
2672,478
2673,478
2674,199
2675,478
2676,294
2677,478
2678,478
2679,478
2680,235
2681,478
2682,187
2683,361
2684,478
2685,478
2686,478
2687,415
2688,478
2689,469
2690,478
2691,406
2692,478
2693,412
2694,478
2695,478
2696,478
2697,474
2698,361
2699,478
2700,478
2701,453
2702,478
2703,472
2704,278
2705,158
2706,478
2707,478
2708,140
2709,478
2710,478
2711,478
2712,478
2713,478
2714,478
2715,428
2716,321
2717,478
2718,307
2719,478
2720,478
2721,478
2722,410
2723,478
2724,434
2725,478
2726,478
2727,478
2728,478
2729,478
2730,478
2731,406
2732,459
2733,478
2734,478
2735,478
2736,330
2737,478
2738,478
2739,478
2740,366
2741,341
2742,478
2743,478
2744,459
2745,62
2746,478
2747,478
2748,478
2749,388
2750,478
2751,279
2752,478
2753,478
2754,478
2755,478
2756,254
2757,478
2758,467
2759,411
2760,478
2761,370
2762,478
2763,183
2764,478
2765,478
2766,478
2767,478
2768,478
2769,478
2770,478
2771,395
2772,132
2773,478
2774,462
2775,478
2776,436
2777,154
2778,478
2779,415
2780,80
2781,478
2782,478
2783,452
2784,354
2785,225
2786,478
2787,478
2788,478
2789,478
2790,232
2791,478
2792,101
2793,478
2794,478
2795,478
2796,478
2797,478
2798,478
2799,478
2800,402
2801,478
2802,478
2803,155
2804,478
2805,478
2806,478
2807,478
2808,478
2809,450
2810,478
2811,478
2812,319
2813,478
2814,478
2815,478
2816,478
2817,478
2818,478
2819,478
2820,478
2821,433
2822,478
2823,326
2824,478
2825,306
2826,478
2827,283
2828,478
2829,478
2830,478
2831,478
2832,382
2833,478
2834,262
2835,478
2836,478
2837,478
2838,478
2839,478
2840,223
2841,478
2842,478
2843,478
2844,466
2845,478
2846,478
2847,402
2848,478
2849,232
2850,478
2851,442
2852,478
2853,478
2854,478
2855,89
2856,58
2857,478
2858,478
2859,478
2860,391
2861,95
2862,478
2863,478
2864,478
2865,246
2866,478
2867,478
2868,478
2869,478
2870,478
2871,478
2872,188
2873,478
2874,478
2875,219
2876,478
2877,478
2878,478
2879,478
2880,478
2881,436
2882,338
2883,478
2884,478
2885,478
2886,478
2887,478
2888,478
2889,478
2890,478
2891,271
2892,478
2893,478
2894,478
2895,16
2896,478
2897,251
2898,478
2899,478
2900,478
2901,466
2902,370
2903,475
2904,478
2905,478
2906,478
2907,26
2908,240
2909,478
2910,84
2911,478
2912,361
2913,478
2914,462
2915,459
2916,478
2917,478
2918,414
2919,478
2920,478
2921,478
2922,478
2923,478
2924,478
2925,478
2926,478
2927,478
2928,163
2929,478
2930,478
2931,478
2932,478
2933,183
2934,478
2935,478
2936,366
2937,478
2938,443
2939,478
2940,463
2941,478
2942,478
2943,367
2944,180
2945,478
2946,428
2947,84
2948,478
2949,478
2950,436
2951,478
2952,469
2953,296
2954,478
2955,361
2956,245
2957,478
2958,53
2959,478
2960,428
2961,450
2962,478
2963,478
2964,478
2965,402
2966,478
2967,478
2968,130
2969,161
2970,426
2971,478
2972,18
2973,422
2974,478
2975,192
2976,478
2977,478
2978,478
2979,478
2980,478
2981,478
2982,478
2983,478
2984,430
2985,478
2986,216
2987,478
2988,478
2989,478
2990,478
2991,478
2992,478
2993,478
2994,182
2995,478
2996,309
2997,478
