,id,cluster
81,HOBBIES_1_084_CA_1_validation,277
82,HOBBIES_1_085_CA_1_validation,276
83,HOBBIES_1_086_CA_1_validation,405
84,HOBBIES_1_087_CA_1_validation,146
85,HOBBIES_1_088_CA_1_validation,98
86,HOBBIES_1_089_CA_1_validation,221
87,HOBBIES_1_090_CA_1_validation,458
88,HOBBIES_1_091_CA_1_validation,351
89,HOBBIES_1_092_CA_1_validation,472
90,HOBBIES_1_093_CA_1_validation,410
91,HOBBIES_1_094_CA_1_validation,44
92,HOBBIES_1_095_CA_1_validation,612
93,HOBBIES_1_097_CA_1_validation,351
94,HOBBIES_1_098_CA_1_validation,164
95,HOBBIES_1_099_CA_1_validation,155
96,HOBBIES_1_100_CA_1_validation,387
97,HOBBIES_1_102_CA_1_validation,39
98,HOBBIES_1_103_CA_1_validation,305
99,HOBBIES_1_104_CA_1_validation,549
100,HOBBIES_1_105_CA_1_validation,447
101,HOBBIES_1_106_CA_1_validation,232
102,HOBBIES_1_107_CA_1_validation,358
103,HOBBIES_1_108_CA_1_validation,37
104,HOBBIES_1_109_CA_1_validation,297
105,HOBBIES_1_110_CA_1_validation,373
106,HOBBIES_1_111_CA_1_validation,191
107,HOBBIES_1_112_CA_1_validation,209
108,HOBBIES_1_113_CA_1_validation,405
109,HOBBIES_1_114_CA_1_validation,53
110,HOBBIES_1_115_CA_1_validation,354
111,HOBBIES_1_116_CA_1_validation,247
112,HOBBIES_1_117_CA_1_validation,373
113,HOBBIES_1_118_CA_1_validation,194
114,HOBBIES_1_119_CA_1_validation,559
115,HOBBIES_1_120_CA_1_validation,544
116,HOBBIES_1_121_CA_1_validation,236
117,HOBBIES_1_122_CA_1_validation,148
118,HOBBIES_1_123_CA_1_validation,405
119,HOBBIES_1_124_CA_1_validation,231
120,HOBBIES_1_125_CA_1_validation,359
121,HOBBIES_1_126_CA_1_validation,123
122,HOBBIES_1_127_CA_1_validation,236
123,HOBBIES_1_128_CA_1_validation,39
124,HOBBIES_1_129_CA_1_validation,355
125,HOBBIES_1_130_CA_1_validation,66
126,HOBBIES_1_131_CA_1_validation,349
127,HOBBIES_1_132_CA_1_validation,236
128,HOBBIES_1_133_CA_1_validation,242
129,HOBBIES_1_134_CA_1_validation,561
130,HOBBIES_1_135_CA_1_validation,297
131,HOBBIES_1_136_CA_1_validation,575
132,HOBBIES_1_137_CA_1_validation,387
133,HOBBIES_1_138_CA_1_validation,146
134,HOBBIES_1_139_CA_1_validation,394
135,HOBBIES_1_140_CA_1_validation,575
136,HOBBIES_1_141_CA_1_validation,511
137,HOBBIES_1_142_CA_1_validation,49
138,HOBBIES_1_143_CA_1_validation,242
139,HOBBIES_1_144_CA_1_validation,302
140,HOBBIES_1_145_CA_1_validation,370
141,HOBBIES_1_146_CA_1_validation,600
142,HOBBIES_1_147_CA_1_validation,521
143,HOBBIES_1_148_CA_1_validation,118
144,HOBBIES_1_149_CA_1_validation,24
145,HOBBIES_1_150_CA_1_validation,118
146,HOBBIES_1_151_CA_1_validation,36
147,HOBBIES_1_152_CA_1_validation,574
148,HOBBIES_1_153_CA_1_validation,261
149,HOBBIES_1_154_CA_1_validation,194
150,HOBBIES_1_155_CA_1_validation,495
151,HOBBIES_1_156_CA_1_validation,579
152,HOBBIES_1_157_CA_1_validation,458
153,HOBBIES_1_158_CA_1_validation,566
154,HOBBIES_1_159_CA_1_validation,472
155,HOBBIES_1_160_CA_1_validation,502
156,HOBBIES_1_161_CA_1_validation,289
157,HOBBIES_1_162_CA_1_validation,559
158,HOBBIES_1_163_CA_1_validation,514
159,HOBBIES_1_164_CA_1_validation,4
160,HOBBIES_1_165_CA_1_validation,256
161,HOBBIES_1_166_CA_1_validation,279
162,HOBBIES_1_167_CA_1_validation,600
163,HOBBIES_1_168_CA_1_validation,383
164,HOBBIES_1_169_CA_1_validation,133
165,HOBBIES_1_170_CA_1_validation,423
166,HOBBIES_1_171_CA_1_validation,242
167,HOBBIES_1_172_CA_1_validation,227
168,HOBBIES_1_173_CA_1_validation,531
169,HOBBIES_1_174_CA_1_validation,317
170,HOBBIES_1_175_CA_1_validation,584
171,HOBBIES_1_176_CA_1_validation,269
172,HOBBIES_1_177_CA_1_validation,532
173,HOBBIES_1_178_CA_1_validation,330
174,HOBBIES_1_179_CA_1_validation,562
175,HOBBIES_1_180_CA_1_validation,235
176,HOBBIES_1_181_CA_1_validation,465
177,HOBBIES_1_183_CA_1_validation,60
178,HOBBIES_1_184_CA_1_validation,514
179,HOBBIES_1_185_CA_1_validation,273
180,HOBBIES_1_186_CA_1_validation,269
181,HOBBIES_1_187_CA_1_validation,19
182,HOBBIES_1_188_CA_1_validation,275
183,HOBBIES_1_189_CA_1_validation,242
184,HOBBIES_1_190_CA_1_validation,101
185,HOBBIES_1_191_CA_1_validation,559
186,HOBBIES_1_192_CA_1_validation,584
187,HOBBIES_1_193_CA_1_validation,343
188,HOBBIES_1_194_CA_1_validation,163
189,HOBBIES_1_195_CA_1_validation,254
190,HOBBIES_1_197_CA_1_validation,285
191,HOBBIES_1_198_CA_1_validation,2
192,HOBBIES_1_199_CA_1_validation,572
193,HOBBIES_1_200_CA_1_validation,313
194,HOBBIES_1_201_CA_1_validation,335
195,HOBBIES_1_202_CA_1_validation,118
196,HOBBIES_1_203_CA_1_validation,385
197,HOBBIES_1_204_CA_1_validation,50
198,HOBBIES_1_205_CA_1_validation,203
199,HOBBIES_1_206_CA_1_validation,146
200,HOBBIES_1_207_CA_1_validation,514
201,HOBBIES_1_208_CA_1_validation,132
202,HOBBIES_1_209_CA_1_validation,49
203,HOBBIES_1_210_CA_1_validation,613
204,HOBBIES_1_211_CA_1_validation,605
205,HOBBIES_1_212_CA_1_validation,335
206,HOBBIES_1_213_CA_1_validation,56
207,HOBBIES_1_214_CA_1_validation,273
208,HOBBIES_1_215_CA_1_validation,165
209,HOBBIES_1_216_CA_1_validation,359
210,HOBBIES_1_217_CA_1_validation,297
211,HOBBIES_1_218_CA_1_validation,355
212,HOBBIES_1_219_CA_1_validation,377
213,HOBBIES_1_220_CA_1_validation,320
214,HOBBIES_1_221_CA_1_validation,479
215,HOBBIES_1_223_CA_1_validation,439
216,HOBBIES_1_224_CA_1_validation,164
217,HOBBIES_1_225_CA_1_validation,482
218,HOBBIES_1_226_CA_1_validation,146
219,HOBBIES_1_227_CA_1_validation,194
220,HOBBIES_1_228_CA_1_validation,514
221,HOBBIES_1_229_CA_1_validation,436
222,HOBBIES_1_230_CA_1_validation,112
223,HOBBIES_1_231_CA_1_validation,447
224,HOBBIES_1_232_CA_1_validation,261
225,HOBBIES_1_233_CA_1_validation,267
226,HOBBIES_1_234_CA_1_validation,23
227,HOBBIES_1_235_CA_1_validation,481
228,HOBBIES_1_236_CA_1_validation,614
229,HOBBIES_1_237_CA_1_validation,236
230,HOBBIES_1_238_CA_1_validation,495
231,HOBBIES_1_239_CA_1_validation,500
232,HOBBIES_1_240_CA_1_validation,359
233,HOBBIES_1_241_CA_1_validation,553
234,HOBBIES_1_242_CA_1_validation,566
235,HOBBIES_1_243_CA_1_validation,56
236,HOBBIES_1_244_CA_1_validation,458
237,HOBBIES_1_245_CA_1_validation,219
238,HOBBIES_1_246_CA_1_validation,236
239,HOBBIES_1_247_CA_1_validation,332
240,HOBBIES_1_248_CA_1_validation,559
241,HOBBIES_1_249_CA_1_validation,164
242,HOBBIES_1_250_CA_1_validation,559
243,HOBBIES_1_251_CA_1_validation,313
244,HOBBIES_1_252_CA_1_validation,394
245,HOBBIES_1_253_CA_1_validation,600
246,HOBBIES_1_254_CA_1_validation,488
247,HOBBIES_1_255_CA_1_validation,118
248,HOBBIES_1_256_CA_1_validation,9
249,HOBBIES_1_257_CA_1_validation,221
250,HOBBIES_1_258_CA_1_validation,147
251,HOBBIES_1_259_CA_1_validation,221
252,HOBBIES_1_260_CA_1_validation,615
253,HOBBIES_1_261_CA_1_validation,261
254,HOBBIES_1_262_CA_1_validation,542
255,HOBBIES_1_263_CA_1_validation,209
256,HOBBIES_1_264_CA_1_validation,98
257,HOBBIES_1_265_CA_1_validation,269
258,HOBBIES_1_266_CA_1_validation,277
259,HOBBIES_1_267_CA_1_validation,313
260,HOBBIES_1_268_CA_1_validation,312
261,HOBBIES_1_269_CA_1_validation,542
262,HOBBIES_1_270_CA_1_validation,465
263,HOBBIES_1_271_CA_1_validation,552
264,HOBBIES_1_272_CA_1_validation,159
265,HOBBIES_1_273_CA_1_validation,385
266,HOBBIES_1_274_CA_1_validation,224
267,HOBBIES_1_275_CA_1_validation,224
268,HOBBIES_1_276_CA_1_validation,447
269,HOBBIES_1_277_CA_1_validation,277
270,HOBBIES_1_278_CA_1_validation,532
271,HOBBIES_1_279_CA_1_validation,566
272,HOBBIES_1_280_CA_1_validation,261
273,HOBBIES_1_281_CA_1_validation,194
274,HOBBIES_1_282_CA_1_validation,313
275,HOBBIES_1_283_CA_1_validation,610
276,HOBBIES_1_284_CA_1_validation,472
277,HOBBIES_1_285_CA_1_validation,209
278,HOBBIES_1_286_CA_1_validation,148
279,HOBBIES_1_287_CA_1_validation,532
280,HOBBIES_1_288_CA_1_validation,132
281,HOBBIES_1_289_CA_1_validation,178
282,HOBBIES_1_290_CA_1_validation,44
283,HOBBIES_1_292_CA_1_validation,273
284,HOBBIES_1_293_CA_1_validation,377
285,HOBBIES_1_294_CA_1_validation,399
286,HOBBIES_1_295_CA_1_validation,532
287,HOBBIES_1_296_CA_1_validation,75
288,HOBBIES_1_297_CA_1_validation,183
289,HOBBIES_1_298_CA_1_validation,277
290,HOBBIES_1_299_CA_1_validation,165
291,HOBBIES_1_300_CA_1_validation,242
292,HOBBIES_1_301_CA_1_validation,484
293,HOBBIES_1_302_CA_1_validation,595
294,HOBBIES_1_303_CA_1_validation,105
295,HOBBIES_1_304_CA_1_validation,183
296,HOBBIES_1_305_CA_1_validation,209
297,HOBBIES_1_306_CA_1_validation,60
298,HOBBIES_1_307_CA_1_validation,261
299,HOBBIES_1_308_CA_1_validation,159
300,HOBBIES_1_309_CA_1_validation,124
301,HOBBIES_1_310_CA_1_validation,434
302,HOBBIES_1_311_CA_1_validation,124
303,HOBBIES_1_312_CA_1_validation,383
304,HOBBIES_1_313_CA_1_validation,242
305,HOBBIES_1_314_CA_1_validation,233
306,HOBBIES_1_315_CA_1_validation,31
307,HOBBIES_1_316_CA_1_validation,419
308,HOBBIES_1_317_CA_1_validation,165
309,HOBBIES_1_318_CA_1_validation,126
310,HOBBIES_1_319_CA_1_validation,405
311,HOBBIES_1_320_CA_1_validation,428
312,HOBBIES_1_321_CA_1_validation,423
313,HOBBIES_1_322_CA_1_validation,532
314,HOBBIES_1_323_CA_1_validation,279
315,HOBBIES_1_324_CA_1_validation,497
316,HOBBIES_1_325_CA_1_validation,289
317,HOBBIES_1_326_CA_1_validation,235
318,HOBBIES_1_327_CA_1_validation,593
319,HOBBIES_1_328_CA_1_validation,482
320,HOBBIES_1_329_CA_1_validation,274
321,HOBBIES_1_330_CA_1_validation,13
322,HOBBIES_1_331_CA_1_validation,419
323,HOBBIES_1_332_CA_1_validation,139
324,HOBBIES_1_333_CA_1_validation,495
325,HOBBIES_1_334_CA_1_validation,566
326,HOBBIES_1_335_CA_1_validation,616
327,HOBBIES_1_336_CA_1_validation,31
328,HOBBIES_1_337_CA_1_validation,157
329,HOBBIES_1_338_CA_1_validation,345
330,HOBBIES_1_339_CA_1_validation,584
331,HOBBIES_1_340_CA_1_validation,102
332,HOBBIES_1_341_CA_1_validation,178
333,HOBBIES_1_342_CA_1_validation,157
334,HOBBIES_1_343_CA_1_validation,9
335,HOBBIES_1_344_CA_1_validation,325
336,HOBBIES_1_345_CA_1_validation,405
337,HOBBIES_1_346_CA_1_validation,373
338,HOBBIES_1_347_CA_1_validation,376
339,HOBBIES_1_348_CA_1_validation,584
340,HOBBIES_1_349_CA_1_validation,581
341,HOBBIES_1_350_CA_1_validation,9
342,HOBBIES_1_351_CA_1_validation,165
343,HOBBIES_1_352_CA_1_validation,194
344,HOBBIES_1_353_CA_1_validation,566
345,HOBBIES_1_354_CA_1_validation,289
346,HOBBIES_1_355_CA_1_validation,277
347,HOBBIES_1_356_CA_1_validation,373
348,HOBBIES_1_357_CA_1_validation,157
349,HOBBIES_1_358_CA_1_validation,559
350,HOBBIES_1_359_CA_1_validation,24
351,HOBBIES_1_360_CA_1_validation,617
352,HOBBIES_1_361_CA_1_validation,604
353,HOBBIES_1_362_CA_1_validation,113
354,HOBBIES_1_363_CA_1_validation,292
355,HOBBIES_1_364_CA_1_validation,415
356,HOBBIES_1_365_CA_1_validation,301
357,HOBBIES_1_366_CA_1_validation,181
358,HOBBIES_1_367_CA_1_validation,575
359,HOBBIES_1_368_CA_1_validation,559
360,HOBBIES_1_369_CA_1_validation,101
361,HOBBIES_1_370_CA_1_validation,301
362,HOBBIES_1_371_CA_1_validation,224
363,HOBBIES_1_372_CA_1_validation,147
364,HOBBIES_1_373_CA_1_validation,532
365,HOBBIES_1_374_CA_1_validation,601
366,HOBBIES_1_375_CA_1_validation,618
367,HOBBIES_1_376_CA_1_validation,236
368,HOBBIES_1_377_CA_1_validation,206
369,HOBBIES_1_378_CA_1_validation,124
370,HOBBIES_1_379_CA_1_validation,4
371,HOBBIES_1_380_CA_1_validation,289
372,HOBBIES_1_381_CA_1_validation,542
373,HOBBIES_1_382_CA_1_validation,157
374,HOBBIES_1_383_CA_1_validation,219
375,HOBBIES_1_384_CA_1_validation,527
376,HOBBIES_1_385_CA_1_validation,307
377,HOBBIES_1_386_CA_1_validation,105
378,HOBBIES_1_387_CA_1_validation,458
379,HOBBIES_1_388_CA_1_validation,146
380,HOBBIES_1_389_CA_1_validation,387
381,HOBBIES_1_390_CA_1_validation,313
382,HOBBIES_1_391_CA_1_validation,307
383,HOBBIES_1_392_CA_1_validation,532
384,HOBBIES_1_393_CA_1_validation,532
385,HOBBIES_1_394_CA_1_validation,551
386,HOBBIES_1_395_CA_1_validation,458
387,HOBBIES_1_396_CA_1_validation,381
388,HOBBIES_1_397_CA_1_validation,532
389,HOBBIES_1_398_CA_1_validation,451
390,HOBBIES_1_399_CA_1_validation,289
391,HOBBIES_1_400_CA_1_validation,236
392,HOBBIES_1_401_CA_1_validation,465
393,HOBBIES_1_402_CA_1_validation,221
394,HOBBIES_1_403_CA_1_validation,439
395,HOBBIES_1_404_CA_1_validation,4
396,HOBBIES_1_405_CA_1_validation,527
397,HOBBIES_1_406_CA_1_validation,423
398,HOBBIES_1_407_CA_1_validation,419
399,HOBBIES_1_408_CA_1_validation,269
400,HOBBIES_1_409_CA_1_validation,17
401,HOBBIES_1_410_CA_1_validation,82
402,HOBBIES_1_411_CA_1_validation,157
403,HOBBIES_1_412_CA_1_validation,221
404,HOBBIES_1_413_CA_1_validation,9
405,HOBBIES_1_414_CA_1_validation,234
406,HOBBIES_1_415_CA_1_validation,93
407,HOBBIES_1_416_CA_1_validation,405
408,HOBBIES_1_417_CA_1_validation,118
409,HOBBIES_1_418_CA_1_validation,579
410,HOBBIES_1_419_CA_1_validation,93
411,HOBBIES_1_420_CA_1_validation,235
412,HOBBIES_1_421_CA_1_validation,124
413,HOBBIES_1_422_CA_1_validation,232
414,HOBBIES_1_423_CA_1_validation,273
415,HOBBIES_1_424_CA_1_validation,273
416,HOBBIES_2_001_CA_1_validation,273
417,HOBBIES_2_002_CA_1_validation,317
418,HOBBIES_2_003_CA_1_validation,224
419,HOBBIES_2_004_CA_1_validation,394
420,HOBBIES_2_005_CA_1_validation,454
421,HOBBIES_2_006_CA_1_validation,394
422,HOBBIES_2_007_CA_1_validation,383
423,HOBBIES_2_008_CA_1_validation,439
424,HOBBIES_2_009_CA_1_validation,2
425,HOBBIES_2_010_CA_1_validation,124
426,HOBBIES_2_011_CA_1_validation,323
427,HOBBIES_2_012_CA_1_validation,549
428,HOBBIES_2_013_CA_1_validation,619
429,HOBBIES_2_014_CA_1_validation,178
430,HOBBIES_2_015_CA_1_validation,584
431,HOBBIES_2_016_CA_1_validation,405
432,HOBBIES_2_017_CA_1_validation,221
433,HOBBIES_2_018_CA_1_validation,173
434,HOBBIES_2_019_CA_1_validation,423
435,HOBBIES_2_020_CA_1_validation,406
436,HOBBIES_2_021_CA_1_validation,343
437,HOBBIES_2_022_CA_1_validation,313
438,HOBBIES_2_023_CA_1_validation,70
439,HOBBIES_2_024_CA_1_validation,66
440,HOBBIES_2_025_CA_1_validation,374
441,HOBBIES_2_026_CA_1_validation,39
442,HOBBIES_2_027_CA_1_validation,381
443,HOBBIES_2_028_CA_1_validation,56
444,HOBBIES_2_029_CA_1_validation,139
445,HOBBIES_2_030_CA_1_validation,60
446,HOBBIES_2_031_CA_1_validation,77
447,HOBBIES_2_032_CA_1_validation,575
448,HOBBIES_2_033_CA_1_validation,194
449,HOBBIES_2_034_CA_1_validation,301
450,HOBBIES_2_035_CA_1_validation,410
451,HOBBIES_2_036_CA_1_validation,229
452,HOBBIES_2_037_CA_1_validation,575
453,HOBBIES_2_038_CA_1_validation,330
454,HOBBIES_2_039_CA_1_validation,423
455,HOBBIES_2_040_CA_1_validation,405
456,HOBBIES_2_041_CA_1_validation,460
457,HOBBIES_2_042_CA_1_validation,330
458,HOBBIES_2_043_CA_1_validation,490
459,HOBBIES_2_044_CA_1_validation,290
460,HOBBIES_2_045_CA_1_validation,162
461,HOBBIES_2_046_CA_1_validation,351
462,HOBBIES_2_047_CA_1_validation,93
463,HOBBIES_2_048_CA_1_validation,139
464,HOBBIES_2_049_CA_1_validation,93
465,HOBBIES_2_050_CA_1_validation,559
466,HOBBIES_2_051_CA_1_validation,489
467,HOBBIES_2_052_CA_1_validation,447
468,HOBBIES_2_053_CA_1_validation,434
469,HOBBIES_2_054_CA_1_validation,148
470,HOBBIES_2_055_CA_1_validation,148
471,HOBBIES_2_056_CA_1_validation,149
472,HOBBIES_2_057_CA_1_validation,620
473,HOBBIES_2_058_CA_1_validation,297
474,HOBBIES_2_059_CA_1_validation,177
475,HOBBIES_2_060_CA_1_validation,289
476,HOBBIES_2_061_CA_1_validation,488
477,HOBBIES_2_062_CA_1_validation,394
478,HOBBIES_2_063_CA_1_validation,242
479,HOBBIES_2_064_CA_1_validation,221
480,HOBBIES_2_065_CA_1_validation,77
481,HOBBIES_2_066_CA_1_validation,345
482,HOBBIES_2_067_CA_1_validation,132
483,HOBBIES_2_068_CA_1_validation,105
484,HOBBIES_2_069_CA_1_validation,146
485,HOBBIES_2_070_CA_1_validation,399
486,HOBBIES_2_071_CA_1_validation,500
487,HOBBIES_2_072_CA_1_validation,621
488,HOBBIES_2_073_CA_1_validation,488
489,HOBBIES_2_074_CA_1_validation,75
490,HOBBIES_2_075_CA_1_validation,394
491,HOBBIES_2_076_CA_1_validation,439
492,HOBBIES_2_077_CA_1_validation,405
493,HOBBIES_2_078_CA_1_validation,394
494,HOBBIES_2_079_CA_1_validation,482
495,HOBBIES_2_080_CA_1_validation,113
496,HOBBIES_2_081_CA_1_validation,209
497,HOBBIES_2_082_CA_1_validation,330
498,HOBBIES_2_083_CA_1_validation,355
499,HOBBIES_2_084_CA_1_validation,359
500,HOBBIES_2_085_CA_1_validation,584
501,HOBBIES_2_086_CA_1_validation,458
502,HOBBIES_2_087_CA_1_validation,113
503,HOBBIES_2_088_CA_1_validation,405
504,HOBBIES_2_089_CA_1_validation,394
505,HOBBIES_2_090_CA_1_validation,542
506,HOBBIES_2_091_CA_1_validation,500
507,HOBBIES_2_092_CA_1_validation,13
508,HOBBIES_2_093_CA_1_validation,514
509,HOBBIES_2_094_CA_1_validation,82
510,HOBBIES_2_095_CA_1_validation,405
511,HOBBIES_2_096_CA_1_validation,304
512,HOBBIES_2_097_CA_1_validation,118
513,HOBBIES_2_098_CA_1_validation,394
514,HOBBIES_2_099_CA_1_validation,241
515,HOBBIES_2_100_CA_1_validation,532
516,HOBBIES_2_101_CA_1_validation,488
517,HOBBIES_2_102_CA_1_validation,500
518,HOBBIES_2_103_CA_1_validation,313
519,HOBBIES_2_104_CA_1_validation,527
520,HOBBIES_2_105_CA_1_validation,178
521,HOBBIES_2_106_CA_1_validation,221
522,HOBBIES_2_107_CA_1_validation,419
523,HOBBIES_2_108_CA_1_validation,139
524,HOBBIES_2_109_CA_1_validation,467
525,HOBBIES_2_110_CA_1_validation,622
526,HOBBIES_2_111_CA_1_validation,77
527,HOBBIES_2_112_CA_1_validation,595
528,HOBBIES_2_113_CA_1_validation,488
529,HOBBIES_2_114_CA_1_validation,458
530,HOBBIES_2_115_CA_1_validation,559
531,HOBBIES_2_116_CA_1_validation,355
532,HOBBIES_2_117_CA_1_validation,373
533,HOBBIES_2_118_CA_1_validation,101
534,HOBBIES_2_119_CA_1_validation,194
535,HOBBIES_2_120_CA_1_validation,261
536,HOBBIES_2_121_CA_1_validation,500
537,HOBBIES_2_122_CA_1_validation,600
538,HOBBIES_2_123_CA_1_validation,118
539,HOBBIES_2_124_CA_1_validation,221
540,HOBBIES_2_125_CA_1_validation,60
541,HOBBIES_2_126_CA_1_validation,317
542,HOBBIES_2_127_CA_1_validation,183
543,HOBBIES_2_128_CA_1_validation,434
544,HOBBIES_2_129_CA_1_validation,532
545,HOBBIES_2_130_CA_1_validation,199
546,HOBBIES_2_131_CA_1_validation,394
547,HOBBIES_2_132_CA_1_validation,233
548,HOBBIES_2_133_CA_1_validation,423
549,HOBBIES_2_134_CA_1_validation,510
550,HOBBIES_2_135_CA_1_validation,13
551,HOBBIES_2_136_CA_1_validation,623
552,HOBBIES_2_137_CA_1_validation,288
553,HOBBIES_2_138_CA_1_validation,194
554,HOBBIES_2_139_CA_1_validation,273
555,HOBBIES_2_140_CA_1_validation,146
556,HOBBIES_2_141_CA_1_validation,347
557,HOBBIES_2_142_CA_1_validation,584
558,HOBBIES_2_143_CA_1_validation,113
559,HOBBIES_2_144_CA_1_validation,495
560,HOBBIES_2_145_CA_1_validation,289
561,HOBBIES_2_146_CA_1_validation,351
562,HOBBIES_2_147_CA_1_validation,500
563,HOBBIES_2_148_CA_1_validation,355
564,HOBBIES_2_149_CA_1_validation,355
565,HOUSEHOLD_1_001_CA_1_validation,394
566,HOUSEHOLD_1_002_CA_1_validation,224
567,HOUSEHOLD_1_003_CA_1_validation,588
568,HOUSEHOLD_1_004_CA_1_validation,209
569,HOUSEHOLD_1_005_CA_1_validation,289
570,HOUSEHOLD_1_006_CA_1_validation,289
571,HOUSEHOLD_1_007_CA_1_validation,495
572,HOUSEHOLD_1_008_CA_1_validation,436
573,HOUSEHOLD_1_009_CA_1_validation,351
574,HOUSEHOLD_1_010_CA_1_validation,289
575,HOUSEHOLD_1_011_CA_1_validation,364
576,HOUSEHOLD_1_012_CA_1_validation,394
577,HOUSEHOLD_1_013_CA_1_validation,564
578,HOUSEHOLD_1_014_CA_1_validation,224
579,HOUSEHOLD_1_015_CA_1_validation,458
580,HOUSEHOLD_1_016_CA_1_validation,399
581,HOUSEHOLD_1_017_CA_1_validation,359
582,HOUSEHOLD_1_018_CA_1_validation,584
583,HOUSEHOLD_1_019_CA_1_validation,466
584,HOUSEHOLD_1_020_CA_1_validation,567
585,HOUSEHOLD_1_021_CA_1_validation,542
586,HOUSEHOLD_1_022_CA_1_validation,221
587,HOUSEHOLD_1_023_CA_1_validation,330
588,HOUSEHOLD_1_024_CA_1_validation,400
589,HOUSEHOLD_1_025_CA_1_validation,335
590,HOUSEHOLD_1_026_CA_1_validation,139
591,HOUSEHOLD_1_027_CA_1_validation,514
592,HOUSEHOLD_1_028_CA_1_validation,209
593,HOUSEHOLD_1_029_CA_1_validation,289
594,HOUSEHOLD_1_030_CA_1_validation,75
595,HOUSEHOLD_1_032_CA_1_validation,566
596,HOUSEHOLD_1_033_CA_1_validation,502
597,HOUSEHOLD_1_034_CA_1_validation,480
598,HOUSEHOLD_1_035_CA_1_validation,566
599,HOUSEHOLD_1_036_CA_1_validation,447
600,HOUSEHOLD_1_037_CA_1_validation,335
601,HOUSEHOLD_1_038_CA_1_validation,527
602,HOUSEHOLD_1_039_CA_1_validation,209
